incident_id,title,description,created_date,status,assigned_to_id
63,Past easy husband I.,Tax find occur already.,2025-06-21 17:53:58,open,2
64,Hear executive work.,Republican among cell information.,2025-07-06 03:18:20,in progress,16
65,Material to whole.,Argue mission common country policy perhaps early.,2025-06-19 23:03:52,in progress,2
66,Still make indeed dog yourself.,Area war growth agent ask. Much product level.,2025-06-17 08:22:19,in progress,19
67,Many soldier especially.,Report beyond partner seek look half.,2025-07-04 20:47:11,in progress,7
68,Line state list.,Myself time position share international dark peace. Skill per maybe offer staff reality hotel common.,2025-06-17 23:47:58,open,7
69,Become yourself compare sing talk.,Century agent strategy human shake reason.,2025-07-04 14:04:46,in progress,8
70,Writer expert medical.,Water result true several effort.,2025-06-15 09:31:32,open,13
71,Outside heart defense challenge.,Career end office support discover president knowledge. Peace impact local agree Mr line say.,2025-07-10 06:58:49,in progress,5
72,High watch church.,Mouth remain daughter than.,2025-06-18 13:40:25,in progress,6
73,Important detail personal.,His I treatment interesting coach us sound.,2025-06-29 19:41:45,in progress,12
74,Want order.,Include section truth. About project heavy each vote.,2025-07-08 13:33:36,in progress,11
75,Against close huge.,Listen beat out interview recognize Democrat.,2025-06-15 23:07:32,in progress,8
76,Study road whatever then.,Treatment with floor fight speak drop material.,2025-06-18 18:40:39,open,14
77,Newspaper decide stop information.,Newspaper make where natural drug responsibility everybody.,2025-06-30 07:38:00,open,16
78,Process bad south call almost.,Establish compare practice idea produce wish.,2025-07-06 06:44:06,open,6
79,Indeed security table.,When reflect nice method different single relate. Leg between buy rather husband size believe.,2025-06-14 11:46:39,resolved,18
80,Cell guess.,Pm true push hour. Common region Democrat same take account.,2025-07-07 19:11:05,open,3
81,Right song social evening generation.,Grow head peace method beautiful anyone ground.,2025-06-27 14:38:15,open,13
82,There painting we friend.,Common or little along allow. Bed likely bill hit song cell usually.,2025-07-01 19:27:08,in progress,10
83,Part list anything despite score.,Rock church nice stay doctor consumer bank.,2025-07-09 07:33:28,open,5
84,Sing fear loss point.,Human animal guy brother history minute rich.,2025-06-29 00:50:54,resolved,19
85,Oil free dinner before.,Best move hold three answer sort.,2025-07-01 05:42:58,in progress,3
86,How plan cut happen case.,Reach song this finally case crime sell.,2025-06-15 05:16:17,in progress,3
87,Manage appear exist grow dream.,Far yard give lose change land think key. Need push attorney win author.,2025-07-05 19:32:23,in progress,2
88,Year per win million meeting.,Old choice human simply rise writer. Now party man team.,2025-07-02 12:43:14,resolved,13
89,So feeling recently herself.,Business scientist arrive through. Quite main onto art commercial century media.,2025-07-04 02:56:51,resolved,15
90,Field rate Congress.,Another partner election hour require him.,2025-07-01 03:27:01,resolved,17
91,Work within finally.,Nearly magazine her social conference within but health. Audience across its yourself.,2025-07-01 12:31:14,open,17
92,Wear whatever cold main.,Pass water quickly than other today room. Whether follow nor whatever.,2025-06-22 05:33:13,resolved,14
93,Poor attention fill work.,Before chair this most drive material treat road.,2025-07-02 13:19:03,resolved,7
94,Week stand guy performance.,Ago suddenly resource everyone culture science history clear.,2025-07-08 06:02:13,open,12
95,Report probably.,Newspaper stuff head likely sometimes mission deep.,2025-06-25 10:52:41,open,13
96,Mind together.,Hope or television pick magazine three.,2025-07-05 01:19:21,in progress,1
97,Remain conference cold note letter.,Wall event arm fall pretty get. Every budget store national.,2025-06-22 14:36:33,resolved,14
98,Whether myself spring five physical.,Black common eye central tax. Approach later back close.,2025-06-26 11:48:57,resolved,9
99,Thought chance from.,Religious easy respond finally street floor. Receive door glass drive stuff opportunity glass.,2025-07-05 17:38:03,resolved,7
100,Tough fear certainly.,Left official put method small culture movement.,2025-07-11 11:43:32,in progress,2
